1730872371478	addons.xpi	WARN	Addon with ID default-theme@mozilla.org already installed, older version will be disabled
1730872376119	Sync.Engine.History	DEBUG	Checking if server sync ID _w59-47NXRx- matches existing
1730872376121	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1730872376364	FirefoxAccounts	DEBUG	CommandQueue shutdown is flushing the queue with a timer=false
1730872376436	Sync.Collection	DEBUG	GET success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/191270751/storage/history?newer=1730838410.6&full=1&sort=newest&limit=1000
1730872376440	Sync.SyncScheduler	DEBUG	Clearing sync triggers and the global score.
1730872376458	Sync.Engine.History	WARN	Failed to reconcile incoming record NbCSxinrInXJ: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376460	Sync.Engine.History	WARN	Failed to reconcile incoming record SaMZB5dJQnpz: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376460	Sync.Engine.History	WARN	Failed to reconcile incoming record WtU--GYQtvzT: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record YYxWvNY1LYi1: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record hmCErHv1jmcE: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record i-8wqwrycW5W: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record qqai9mZ94Q7a: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record zzJJalv1DBKS: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376461	Sync.Engine.History	WARN	Failed to reconcile incoming record qcqWvm8jmjXi: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376462	Sync.Engine.History	WARN	Failed to reconcile incoming record socqDjC-LcW5: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376462	Sync.Engine.History	WARN	Failed to reconcile incoming record ssCU9MqPWhdF: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376462	Sync.Engine.History	WARN	Failed to reconcile incoming record urKEV7RLBOm8: Error: Connection is not open.(resource://gre/modules/Sqlite.sys.mjs:1126:13) JS Stack trace: ensureOpen@Sqlite.sys.mjs:1126:13
executeCached@Sqlite.sys.mjs:703:10
executeCached@Sqlite.sys.mjs:1859:33
fetchURLInfoForGuid@PlacesSyncUtils.sys.mjs:360:25
observe@AsyncShutdown.sys.mjs:569:17
1730872376462	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: https://portal.edu.asu.ru/
1730872376462	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: https://www.google.com/search?q=%D0%BC%D0%B0%D0%BB%D0%B2%D0%B0%D1%80%D0%BD%D1%8B%D0%B5%20%D0%B0%D1%82%D0%B0%D0%BA%D0%B8&ie=utf-8&oe=utf-8&client=firefox-b-m#ebo=0
1730872376463	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: https://www.google.com/search?q=%D1%81%D0%B5%D1%82%D0%B5%D0%B2%D0%B0%D1%8F+%D0%B0%D1%82%D0%B0%D0%BA%D0%B0+%D1%87%D1%82%D0%BE+%D1%8D%D1%82%D0%BE&newwindow=1&client=firefox-b-m&sca_esv=2ee6c9bbd1613675&sxsrf=ADLYWIJScjcrkr7AXF-w84tu3QjFG5_CPA%3A1730861333320&ei=FdkqZ_WhE6GIi-gP2qfX0Qk&oq=%D1%81%D0%B5%D1%82%D0%B5%D0%B2%D0%B0%D1%8F+%D0%B0%D1%82%D0%B0%D0%BA%D0%B0+%D1%87%D1%82%D0%BE+%D1%8D%D1%82%D0%BE&gs_lp=EhNtb2JpbGUtZ3dzLXdpei1zZXJwIifRgdC10YLQtdCy0LDRjyDQsNGC0LDQutCwINGH0YLQviDRjdGC0L4yBhAAGBYYHjIIEAAYgAQYogQyCBAAGIAEGKIESMV6UKkIWLl3cAV4AZABAJgB_AGgAcQlqgEGMC4zLjE5uAEDyAEA-AEBmAIboAKOKKgCD8ICChAAGLADGNYEGEfCAg0QABiABBiwAxhDGIoFwgIKEAAYgAQYFBiHAsICChAAGIAEGEMYigXCAgUQABiABMICBxAAGIAEGArCAgcQIxgnGOoCwgIKECMYgAQYJxiKBcICCxAAGIAEGLEDGIMBwgIREC4YgAQYsQMY0QMYgwEYxwHCAgsQLhiABBixAxiDAcICDRAAGIAEGLEDGIMBGArCAgoQABiABBixAxgKwgIIEAAYgAQYsQPCAggQABgWGB4YD8ICBRAhGKABmAMYiAYBkAYRkgcGNS4wLjIyoAf9iAE&sclient=mobile-gws-wiz-serp#vhid=qIG6p8rycaCodM&vssid=l
1730872376463	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: https://portal.edu.asu.ru/login/index.php
1730872376463	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: http://chatgpt.com/
1730872376463	Sync.Engine.History.Store	ERROR	Error while fetching visits for URL ${record.histUri}: https://www.google.com/search?q=malware&ie=utf-8&oe=utf-8&client=firefox-b-m#sbfbu=1&pi=malware
1730872376463	Sync.Engine.History.Store	DEBUG	adding 6 records to history
1730872376463	Sync.Engine.History	WARN	Got exception, aborting processIncoming: [Exception... "App. Quitting"  nsresult: "0x80004004 (NS_ERROR_ABORT)"  location: "JS frame :: resource://services-common/async.sys.mjs :: checkAppReady/onQuitApplication/Async.promiseYield :: line 49"  data: no] Stack trace: checkAppReady/onQuitApplication/Async.promiseYield()@resource://services-common/async.sys.mjs:49
_generateChunks()@resource://services-sync/engines/history.sys.mjs:344
applyIncomingBatch()@resource://services-sync/engines/history.sys.mjs:269
observe()@resource://gre/modules/AsyncShutdown.sys.mjs:569
1730872376463	Sync.Status	DEBUG	Status for engine history: error.engine.reason.unknown_fail
1730872376463	Sync.Status	DEBUG	Status.service: success.status_ok => error.sync.failed_partial
1730872376463	Sync.ErrorHandler	DEBUG	history failed: Error: Data is not ready.(resource://gre/modules/JSONFile.sys.mjs:172:13) JS Stack trace: get data@JSONFile.sys.mjs:172:13
getChangedIDs@engines.sys.mjs:235:5
observe@AsyncShutdown.sys.mjs:569:17
1730872376464	Sync.Status	DEBUG	Status for engine extension-storage: error.engine.reason.unknown_fail
1730872376464	Sync.Status	DEBUG	Status.service: error.sync.failed_partial => error.sync.failed_partial
1730872376464	Sync.ErrorHandler	DEBUG	extension-storage failed: [Exception... "Component returned failure code: 0x8000ffff (NS_ERROR_UNEXPECTED) [mozIBridgedSyncEngine.syncFinished]"  nsresult: "0x8000ffff (NS_ERROR_UNEXPECTED)"  location: "JS frame :: resource://services-sync/bridged_engine.sys.mjs :: #promisify/< :: line 273"  data: no] Stack trace: #promisify/<()@resource://services-sync/bridged_engine.sys.mjs:273
#promisify()@resource://services-sync/bridged_engine.sys.mjs:272
syncFinished()@resource://services-sync/bridged_engine.sys.mjs:258
trackRemainingChanges()@resource://services-sync/bridged_engine.sys.mjs:416
_syncCleanup()@resource://services-sync/engines.sys.mjs:1990
_sync()@resource://services-sync/engines.sys.mjs:2019
WrappedNotify()@resource://services-sync/util.sys.mjs:189
sync()@resource://services-sync/engines.sys.mjs:963
_syncEngine()@resource://services-sync/stages/enginesync.sys.mjs:247
sync()@resource://services-sync/stages/enginesync.sys.mjs:181
observe()@resource://gre/modules/AsyncShutdown.sys.mjs:569
1730872376464	Sync.Doctor	INFO	Skipping consultation: telemetry reporting is disabled
1730872376465	Sync.Synchronizer	INFO	Sync completed at 2024-11-06 12:52:56 after 2.16 secs.
1730872376465	Sync.Declined	DEBUG	Handling remote declined: []
1730872376465	Sync.Declined	DEBUG	Handling local declined: []
1730872376465	Sync.Declined	DEBUG	Declined changed? false
1730872376465	Sync.Service	INFO	No change to declined engines. Not reuploading meta/global.
1730872376465	Sync.ErrorHandler	ERROR	Some engines did not sync correctly.
1730872376465	Sync.ErrorHandler	WARN	Failed to dump addons: [Exception... "AddonManager is not initialized"  nsresult: "0xc1f30001 (NS_ERROR_NOT_INITIALIZED)"  location: "JS frame :: resource://gre/modules/AddonManager.sys.mjs :: getAddonsByTypes :: line 2947"  data: no] Stack trace: getAddonsByTypes()@resource://gre/modules/AddonManager.sys.mjs:2947
getAddonsByTypes()@resource://gre/modules/AddonManager.sys.mjs:4277
_dumpAddons()@resource://services-sync/policies.sys.mjs:949
resetFileLog()@resource://services-sync/policies.sys.mjs:968
observe()@resource://services-sync/policies.sys.mjs:920
observe()@resource://services-common/observers.sys.mjs:131
notify()@resource://services-common/observers.sys.mjs:83
notify()@resource://services-sync/util.sys.mjs:183
WrappedNotify()@resource://services-sync/util.sys.mjs:190
observe()@resource://gre/modules/AsyncShutdown.sys.mjs:569
1730872376465	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
